STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
859212,99999, 20091031,   57.7, 7,   52.8, 7, 9999.9, 0, 9999.9, 0,   6.8, 7,  23.1, 7, 999.9, 999.9,   59.0*,  55.4*, 0.00I,999.9, 100000,
859212,99999, 20091101,   58.1, 8,   52.7, 8, 9999.9, 0, 9999.9, 0,   5.7, 8,   4.7, 8,   8.0, 999.9,   60.8*,  55.4*, 0.00I,999.9, 000000,
859212,99999, 20091106,   64.4, 4,   44.6, 4, 9999.9, 0, 9999.9, 0,   6.6, 4,  14.0, 4,  15.9, 999.9,   66.2*,  62.6*, 0.00I,999.9, 000000,
859212,99999, 20091107,   55.0, 5,   43.2, 5, 9999.9, 0, 9999.9, 0,   6.2, 5,   7.6, 5,  14.0, 999.9,   62.6*,  51.8*, 0.00I,999.9, 000000,
859212,99999, 20091108,   58.2, 7,   47.2, 7, 9999.9, 0, 9999.9, 0,   6.2, 7,   8.4, 7,  15.0, 999.9,   66.2*,  51.8*, 0.00I,999.9, 000000,
859212,99999, 20091113,   58.6, 9,   52.4, 9, 9999.9, 0, 9999.9, 0,   5.4, 9,   6.2, 9,  12.0, 999.9,   66.2*,  50.0*, 0.00I,999.9, 000000,
859212,99999, 20091114,   67.3, 8,   53.2, 8, 9999.9, 0, 9999.9, 0,   6.2, 8,   5.8, 8,  12.0, 999.9,   73.4*,  57.2*, 0.00I,999.9, 000000,
859212,99999, 20091115,   71.9, 7,   45.6, 7, 9999.9, 0, 9999.9, 0,   6.2, 7,   6.6, 7,  14.0, 999.9,   87.8*,  55.4*, 0.00I,999.9, 000000,
859212,99999, 20091116,   61.5, 5,   50.7, 5, 9999.9, 0, 9999.9, 0,   6.2, 5,   2.6, 5,   5.1, 999.9,   68.0*,  57.2*, 0.00I,999.9, 000000,
859212,99999, 20091121,   60.8, 5,   52.9, 5, 9999.9, 0, 9999.9, 0,   6.3, 5,   5.4, 5,   8.9, 999.9,   68.0*,  57.2*, 0.00I,999.9, 000000,
859212,99999, 20091122,   61.3, 7,   52.6, 7, 9999.9, 0, 9999.9, 0,   6.3, 7,   4.6, 7,   9.9, 999.9,   68.0*,  57.2*, 0.00I,999.9, 000000,
859212,99999, 20091123,   57.6, 5,   52.9, 5, 9999.9, 0, 9999.9, 0,   5.7, 5,   4.6, 5,   6.0, 999.9,   66.2*,  53.6*, 0.00I,999.9, 000000,
859212,99999, 20091127,   73.9, 4,   54.1, 4, 9999.9, 0, 9999.9, 0,   6.2, 4,  11.3, 4,  15.0, 999.9,   77.0*,  69.8*, 0.00I,999.9, 000000,
859212,99999, 20091128,   58.1,23,   50.5,23, 9999.9, 0, 9999.9, 0,   6.2,23,   4.1,23,   9.9, 999.9,   69.8*,  46.4*, 0.00I,999.9, 000000,
859212,99999, 20091129,   63.2,19,   51.3,19, 9999.9, 0, 9999.9, 0,   6.2,19,   7.6,19,  19.0, 999.9,   75.2*,  48.2*, 0.00I,999.9, 000000,
859212,99999, 20091130,   62.7,23,   49.6,23, 9999.9, 0, 9999.9, 0,   6.2,23,   5.5,23,  16.9, 999.9,   77.0*,  53.6*, 0.00I,999.9, 000000,
859212,99999, 20091201,   61.6,20,   47.2,20, 9999.9, 0, 9999.9, 0,   5.9,20,   6.4,20,  14.0, 999.9,   73.4*,  44.6*, 0.00I,999.9, 100000,
859212,99999, 20091202,   64.6,23,   50.8,23, 9999.9, 0, 9999.9, 0,   6.2,23,   5.4,23,  14.0, 999.9,   84.2*,  50.0*, 0.00I,999.9, 000000,
859212,99999, 20091203,   60.5,20,   52.0,20, 9999.9, 0, 9999.9, 0,   5.6,20,   5.0,20,  13.0, 999.9,   71.6*,  50.0*, 0.00I,999.9, 100000,
859212,99999, 20091204,   55.0,22,   52.0,22, 9999.9, 0, 9999.9, 0,   4.4,22,   4.4,22,   9.9, 999.9,   60.8*,  50.0*, 0.00I,999.9, 000000,
859212,99999, 20091205,   57.0,22,   49.7,22, 9999.9, 0, 9999.9, 0,   5.8,22,   6.0,22,  12.0, 999.9,   66.2*,  48.2*, 0.00I,999.9, 000000,
859212,99999, 20091206,   56.3,23,   51.4,23, 9999.9, 0, 9999.9, 0,   5.8,23,   4.1,23,   9.9, 999.9,   62.6*,  51.8*, 0.00I,999.9, 100000,
859212,99999, 20091207,   57.9,21,   50.1,21, 9999.9, 0, 9999.9, 0,   6.1,21,   6.7,21,  18.1, 999.9,   68.0*,  50.0*, 0.00I,999.9, 000000,
859212,99999, 20091208,   59.6,16,   51.9,16, 9999.9, 0, 9999.9, 0,   6.1,16,   5.9,16,  14.0, 999.9,   64.4*,  48.2*, 0.00I,999.9, 000000,
859212,99999, 20091209,   56.5,24,   52.2,24, 9999.9, 0, 9999.9, 0,   5.7,24,   5.5,24,  12.0, 999.9,   62.6*,  48.2*, 0.00I,999.9, 000000,
859212,99999, 20091210,   56.4,21,   53.8,21, 9999.9, 0, 9999.9, 0,   5.6,21,   5.0,21,   8.0, 999.9,   60.8*,  53.6*, 0.00I,999.9, 000000,
859212,99999, 20091211,   59.0,20,   54.2,20, 9999.9, 0, 9999.9, 0,   6.5,20,   4.5,20,  14.0, 999.9,   64.4*,  55.4*, 0.00I,999.9, 000000,
859212,99999, 20091212,   59.2,18,   53.7,18, 9999.9, 0, 9999.9, 0,   5.0,18,   5.8,18,  12.0, 999.9,   66.2*,  48.2*, 0.00I,999.9, 000000,
859212,99999, 20091213,   63.2,24,   54.7,24, 9999.9, 0, 9999.9, 0,   6.2,24,   5.0,24,  16.9, 999.9,   82.4*,  50.0*, 0.00I,999.9, 000000,
859212,99999, 20091214,   65.1,21,   55.5,21, 9999.9, 0, 9999.9, 0,   6.1,21,   5.1,21,  11.1, 999.9,   73.4*,  53.6*, 0.00I,999.9, 000000,
859212,99999, 20091215,   58.6,24,   53.8,24, 9999.9, 0, 9999.9, 0,   5.3,24,   5.0,24,  14.0, 999.9,   64.4*,  51.8*, 0.00I,999.9, 100000,
