"","x"
"1",63.411062556204
"2",188.206732699684
"3",196.442025044822
"4",77.2032451459427
"5",174.768949392807
"6",-86.3951535076413
"7",-52.655109250731
"8",88.5678564700664
"9",50.3974300925276
"10",-94.5455507458684
"11",118.854986746426
"12",135.369165649793
"13",-25.6345738263942
"14",152.695772306964
"15",28.4819767544714
"16",0.744538328582892
"17",-108.540545146581
"18",-51.3293681657532
"19",-0.692485050964717
"20",-58.8999952219583
"21",-168.505145042413
"22",-85.9130912350895
"23",99.6266612316517
"24",-4.92293376314127
"25",-5.17678532007542
"26",-18.1018497937409
"27",-88.4963055751308
"28",101.092414881516
"29",-63.7081034753818
"30",89.1339874710375
"31",124.276079630222
"32",90.7715132071701
"33",142.805410000181
"34",70.208551846997
"35",172.137353466611
"36",-87.3773708123727
"37",60.8492342463423
"38",28.9392252133995
"39",4.16965475970348
"40",-35.8941396424553
"41",52.6547264904949
"42",-95.6810473747238
"43",-25.5778417563931
"44",34.5655828113069
"45",-162.047725377675
"46",-75.1315965957169
"47",-119.33929955523
"48",-15.6719508779875
"49",-63.4065218258898
"50",-179.965959634579
"51",-65.0264380464746
"52",42.7898266801376
"53",100.597356658132
"54",-74.975482384599
"55",68.1157700094426
"56",-5.30576276765149
"57",-10.7289059117055
"58",-214.211714962784
"59",-195.176055453058
"60",-66.4864382529812
"61",-202.11174896702
"62",-225.307890848881
"63",-315.281461197517
"64",-220.747598792867
"65",-46.5853142999919
"66",-147.371399288928
"67",-194.539602329037
"68",-216.707375173747
"69",-318.931608627162
"70",-233.46452031218
"71",-238.6704638472
"72",-247.971733784537
"73",-276.56835601711
"74",-107.226277114737
"75",-171.988569304739
"76",-84.763259600348
"77",57.1326945554679
"78",-82.8134875354467
"79",-72.6520612297799
"80",9.40836739505244
"81",-59.2278029921715
"82",43.6604793642996
"83",125.823622787523
"84",-235.41348570746
"85",11.4555941996814
"86",25.881466487407
"87",-51.690110745477
"88",41.4250043413515
"89",94.4599231475583
"90",13.8880411510785
"91",131.219888401737
"92",61.6719662962833
"93",108.488766159399
"94",184.7460911978
"95",257.759748382094
"96",158.027811491851
"97",112.049998766096
"98",209.465786823615
"99",39.915141435316
"100",239.354297735548
"101",205.009450923864
"102",285.259213993603
"103",338.92072198178
"104",239.672562149321
"105",242.51454280913
"106",286.246025939661
"107",214.210899679048
"108",204.773041150862
"109",307.85718549846
"110",368.045229716017
"111",202.382479758308
"112",385.514180460942
"113",357.448455457949
"114",136.05800785348
"115",170.681940599426
"116",229.930014366515
"117",239.481529451041
"118",248.265527994327
"119",156.290139322048
"120",268.309699219616
"121",100.513280788817
"122",50.8848697870202
"123",1.75626981686191
"124",223.357072896396
"125",111.959041321495
"126",160.525545159212
"127",-4.42447893209347
"128",73.1353828763438
"129",-22.6307464696185
"130",47.1697380031366
"131",-45.0261854648824
"132",16.4999733437601
"133",109.114315975852
"134",69.1791154413967
"135",86.0223677698094
"136",186.281744286171
"137",90.4465029694683
"138",-33.0219864197016
"139",146.962686960307
"140",-63.4980935907136
"141",143.590611472814
"142",75.2589161613504
"143",39.4978875520094
"144",-12.700268199693
